Rank,Name,Current Players,Peak Players,Hours Played
1,Counter-Strike 2,1041351,1614925,708292765
2,Dota 2,653138,943059,379771845
3,Destiny 2,260178,314379,63696683
4,PUBG: BATTLEGROUNDS,232556,693105,198600893
5,Rust,164961,175036,60813212
6,Banana,138578,141561,12172936
7,Apex Legends,125463,425742,120083501
8,Grand Theft Auto V,119119,156488,68716174
9,Call of Duty®,90949,133356,54788934
10,ELDEN RING,84362,100261,37858711
11,Team Fortress 2,83540,99995,55704546
12,War Thunder,74812,89309,39743967
13,Baldur's Gate 3,68535,103767,43208485
14,Stardew Valley,65809,151187,58757603
15,Tom Clancy's Rainbow Six Siege,65560,91317,42784218
16,Wallpaper Engine,65370,122829,49336777
17,Football Manager 2024,64106,79732,37099679
18,EA SPORTS FC™ 24,60166,82463,33860829
19,Unturned,56686,68749,39776213
20,NARAKA: BLADEPOINT,54812,312137,74139626
21,HELLDIVERS™ 2,51951,125574,41066581
22,DayZ,51132,64338,24938821
23,Fallout 4,50679,135123,47765339
24,Hearts of Iron IV,48037,62760,25978413
25,Dead by Daylight,45865,62610,27320964
